image_id,cleaning_priority_score,priority_band,priority_reason,recommended_action
56d2557f-bfbe-4fea-8844-d994186c36e9,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch.",human_review
d6f0cf37-cb5d-48e0-9881-ee57c57d2f4f,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
d97e5b8d-2a57-44f4-9742-e6e394ffd22c,59.89728009259259,high,"Dirt detected covering 4.4% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
67edffee-9005-43ff-8b87-e99a194485c0,63.621238425925924,high,"Dirt detected covering 4.8% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
69d01ed3-9c61-4f26-8bc8-560258b42262,5.0,low,No condition issues detected.,none
f97fdf2f-0fd8-4c94-808a-3f309fd7ea2c,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage.,inspect
3d70dcc1-cc43-463f-8300-dfee919a8aed,58.16792052469136,high,"Dirt detected covering 4.2% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
93828532-d2fe-4f73-9544-d7b36d849b14,75.0,high,"Dirt detected covering 6.4% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
6801fc43-2442-41ed-9ebe-83b56608bc03,5.0,low,No condition issues detected.,none
b524868a-56da-4cbe-803f-1486720d1882,5.0,low,No condition issues detected.,none
314919e0-308b-4029-b312-1f6827f15e6d,54.53944830246914,high,"Dirt detected covering 3.8% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
d79ddb1f-3688-45cf-a2a3-a6010938f1d9,100.0,critical,"Primary visual finding is uncertain (confidence=1.00), but a possible damage signal was also detected (confidence=1.00) - inspection recommended due to asymmetric risk, not a confirmed diagnosis of damage.",inspect
895639f4-b445-4811-8a09-90491eca0294,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
9105ca9f-7d37-4c22-9b57-393781b8028f,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
32a8151e-fcd6-4ab9-a378-da6271fdbec6,5.0,low,No condition issues detected.,none
beed46f5-1282-4950-8a0a-6478f92e1ea1,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
c2098b07-b108-4513-b6d2-849bce06c99c,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch.",human_review
79daad75-c968-41c3-b81d-2d77abd822ab,58.53925540123456,high,"Dirt detected covering 4.2% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
80ad5ee7-aae6-4304-aea4-9f639ad6d8e4,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage.,inspect
f97ac2a5-6e0c-43ae-899c-439472fae20e,70.0,high,Image unusable (blank_or_near_constant) - cannot assess condition; recapture required before any other action.,recapture
6102c7fe-aae2-4536-b81a-6134c897e2e1,58.32706404320988,high,"Dirt detected covering 4.2% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
86e057cc-a8c3-469e-855a-1f35dd2ec622,5.0,low,No condition issues detected.,none
6d372989-2eb0-4aba-94f2-a550205a02ca,70.0,high,Image image_missing (missing_file) - cannot assess condition; recapture required before any other action.,recapture
b9dbd793-3b1b-4051-b96f-eb949c668909,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage.,inspect
270c9d9b-e39d-4213-b9b3-4efa727c2482,56.242283950617285,high,"Dirt detected covering 4.0% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
b043e450-4b19-4f84-b961-3b2f8519eb39,5.0,low,No condition issues detected.,none
dbc15e5b-d1a3-4c58-a0b4-316f862fcff4,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
5cface4d-8f6e-43df-ae57-761350849792,5.0,low,No condition issues detected.,none
f47ccad5-7403-4cf3-b177-5a618d7ff4a6,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
39308c1f-c364-41e1-a19c-0202401a58b2,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch.",human_review
13081051-38b2-4dfb-8cf9-f5cee5b1c9ed,53.04880401234568,high,"Dirt detected covering 3.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
7f224e4c-80f6-42a5-bc6e-8de5fe469e68,5.0,low,No condition issues detected.,none
5bde2d37-6bcf-46b5-9831-710a86ee7d8d,5.0,low,No condition issues detected.,none
bdc7a2fa-fbfb-4ea0-a8ee-bdcf46201014,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
6b533535-dd0b-430a-9906-4e45e22f923f,5.0,low,No condition issues detected.,none
31cdfb97-1373-4911-b412-af804d09ae63,5.0,low,No condition issues detected.,none
084f2523-0521-430a-b027-81813db1061b,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
66013960-40dd-489c-bb62-c7955bd7e282,5.0,low,No condition issues detected.,none
85793494-d11c-447b-b080-9928f68fb4c4,89.53125,critical,"Primary visual finding is shadow (confidence=1.00), but a possible damage signal was also detected (confidence=0.65) - inspection recommended due to asymmetric risk, not a confirmed diagnosis of damage.",inspect
ea1268ba-a6db-41a3-9711-922675c2c6d3,69.37692901234567,high,"Dirt detected covering 5.4% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
e0afad24-815b-4e14-b3e4-f8ffe3594f12,5.0,low,No condition issues detected.,none
75364c9e-7479-46bb-bbb1-21ba066ddd8f,62.45418595679012,high,"Dirt detected covering 4.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
e4717a03-6fc5-4131-9145-d0a626c2cb69,63.52575231481481,high,"Dirt detected covering 4.7% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
974e2b00-1437-4064-a0ab-10b1023f4f73,5.0,low,No condition issues detected.,none
e1d31d88-65ae-4582-a3f0-c21d85b2aba9,61.966145833333336,high,"Dirt detected covering 4.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
bbf120df-3387-4179-aa9e-65fc69dc3d3c,70.94184027777777,high,"Dirt detected covering 5.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
27215093-1f5a-4b14-9ab0-ca46a25dcbb1,5.0,low,No condition issues detected.,none
123dd8dc-67f3-4b5f-9b03-8dfa818ab205,5.0,low,No condition issues detected.,none
4b463344-a327-4b91-a5f4-d84830940cdc,66.54947916666667,high,"Dirt detected covering 5.1% of panel area - cleaning priority scaled to soiling severity, not classification confidence.",clean
807f8439-d447-426b-86d0-3cec8a5fe540,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch.",human_review
c24dfeaf-e297-466b-9fb4-b7047642cdbf,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
3b1a5569-0577-4e3a-94fc-67b068ea9fd4,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
3c8a881c-a1cd-4ad9-97d1-7aa7dff86ce9,55.462480709876544,high,"Dirt detected covering 3.9% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
84dd899b-fdd5-4c0d-923b-e8667af471ed,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,glare) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
baf5a6cc-558a-4efb-b14a-cc93e6e593cd,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
a99288e6-5663-4f09-8fed-e3fa4edecad3,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,inspect
41e99ce5-bffc-4fa8-b47b-4aa15e0ef28e,75.0,high,"Dirt detected covering 6.2% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
15090b0c-7d67-422b-9887-e2cd6e600eb9,63.043016975308646,high,"Dirt detected covering 4.7% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
00acfba4-cb59-4e8c-9355-27d43e0f816e,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
8ae72704-f5b6-4d74-a0de-7c5cba0b49bb,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
1e25a092-2ca9-4d45-825a-0f5b510a41a3,62.448881172839506,high,"Dirt detected covering 4.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
1a8fbf7b-89c9-43b6-bea0-b34dd281e0ea,75.0,high,"Dirt detected covering 6.0% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
fb1eaaa9-36fa-47ef-8678-df2e74c50817,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
122839af-94f4-4cc7-9020-76143803cba2,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
ee281d90-39fb-45d1-96c8-c39afa67f3a4,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
533d9f10-fcc7-4cbd-a582-d93da7a138ed,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
19d81ab3-b44a-4e9b-8fff-9e85a3f47bf9,75.0,high,"Dirt detected covering 6.1% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
703cdc90-9330-4ec5-a5eb-35775da236a0,50.06221064814815,high,"Dirt detected covering 3.3% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
35f68ce6-f435-4fac-adaf-b76c363de644,95.390625,critical,Damage detected (confidence=0.85) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,inspect
1a3f4b17-9b4e-47f1-b450-6c828ea0b7aa,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
40d803cb-c277-4aa4-9c31-8e407a35563f,54.93730709876544,high,"Dirt detected covering 3.8% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
3aea3736-1635-41c7-a528-c5d7609c6c9b,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
b3ee7407-68f1-408d-895d-60ff642e1ee4,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,inspect
8d4a0633-b5de-4411-9387-3cf9a6eb75d2,97.12673611111111,critical,Damage detected (confidence=0.90) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,inspect
c8a1a426-b55f-437d-a6b0-c0bb07e4bfe6,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
6b5bdd69-6996-40ac-9732-33632849d919,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
99072468-143d-43da-becf-05eb7777b1d1,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
d8297efd-4f66-49a5-86d2-25cb5bc2e2ed,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
bab58be8-132f-4a46-9723-125493c047c7,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
10c0d5d9-c8d7-4ef9-9511-aea98957096c,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,shadow) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
fe1c8b63-4a41-4805-a362-2d5e3ebf1bbb,70.0,high,Image unusable (blank_or_near_constant) - cannot assess condition; recapture required before any other action.,recapture
e0f45009-35a4-4961-b3da-a34a3961a96e,70.0,high,Image unusable (blurry) - cannot assess condition; recapture required before any other action.,recapture
45d4f455-c9d0-4b3d-826e-c1580a1d5584,70.0,high,Image image_corrupt (corrupted_unreadable) - cannot assess condition; recapture required before any other action.,recapture
6baf1881-0eed-4602-a73d-8b3035d27401,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
72b2194f-bb71-4766-9f65-eb700f047211,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
34c01c9e-6e58-4876-b47a-a6a6f9c50cea,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
0a078377-9a30-4123-bc74-5d73d038c361,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
d631d8d9-6186-49a2-aceb-b0f53fb26830,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
e9239389-b480-46ac-8067-a66e9ea07fbf,100.0,critical,Damage detected (confidence=1.00) - inspection prioritized regardless of confidence given asymmetric risk of missed structural damage. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,inspect
1184532c-6ed3-4acc-a9a1-6ec42e9c139b,71.2229938271605,high,"Dirt detected covering 5.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
bec7bf60-9f0a-4551-ac5a-817956979a1f,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
eab8b341-c924-4686-a0d1-782d106a1968,35.0,medium,"Conflicting or weak visual evidence (candidates: dirt,glare) - condition genuinely uncertain; human review recommended, no automatic cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
03ee3631-2ded-4d3a-ad3a-8747bbcb82e7,75.0,high,"Dirt detected covering 6.9% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
65a43f4f-c387-4944-a132-be29a4e9129c,30.0,medium,"Shadow detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
25a3b23b-bff5-4591-b5d1-be100749f233,52.857831790123456,high,"Dirt detected covering 3.6% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
abc2e8c1-00ce-4760-ac6b-8b6c097b6756,53.70659722222223,high,"Dirt detected covering 3.7% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
559bffe5-f143-4225-bf86-133f17d572a5,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
25b62800-c5c5-4721-b54d-ddee55b3301b,5.0,low,No condition issues detected. Note: panel association is 'ambiguous' - verify panel identity before dispatch.,none
3a70818c-11c8-45a0-8b40-ea377294a43a,63.12789351851852,high,"Dirt detected covering 4.7% of panel area - cleaning priority scaled to soiling severity, not classification confidence. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",clean
bd9bdac5-e78b-4ec4-9a14-9e6529fe2c0b,30.0,medium,"Glare detected - likely a transient optical effect, not a persistent panel condition. Panel underneath could not be fully assessed; recommend review or recapture at a different time rather than a cleaning dispatch. Note: panel association is 'ambiguous' - verify panel identity before dispatch.",human_review
